,X.1,Year,Name,Age,Team,Position,MPG,FGM3,FGA3,FGM2,FGA2,FTM,FTA,Offensive_Rebounds,Defensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points,X,EST_Points,EST_FTM,EST_FTA,EST_FGM2,EST_FGA2,EST_FGM3,EST_FGA3,EST_MPG,EST_Offensive_Rebounds,EST_Defensive_Rebounds,EST_Total_Rebounds,EST_Assists,EST_Steals,EST_Blocks,EST_Turnovers,EST_Fouls,ESPN_Fantasy_Score,EST_ESPN_Fantasy_Score,Yahoo_Fantasy_Score,EST_Yahoo_Fantasy_Score,Likelihood
1,1,2022,Danny Green,34,PHI,SF,23.7,1.8,4.8,0.4,0.8,0.3,0.3,0.6,2,2.6,1.1,1.3,0.9,0.9,1.8,6.7,205,8.294993742,0.392256301,0.663468473,0.648229492,1.491415047,2.276687964,5.955976416,25.17729746,0.640754074,2.531032076,3.17178615,1.717088842,1.079868451,0.57103639,1.017777449,1.705376893,19.1,19.87694128,17.17,18.61170746,0.000347556
2,2,2022,Freddie Gillespie,24,ORL,PF,13.2,0,0.1,1,2.3,0.3,0.8,1.4,2.6,4,0.6,0.3,1,0.6,2,2.3,519,7.04749269,1.436392532,1.970361795,2.464457539,4.574027497,0.220035311,0.514509644,20.62863159,1.932320624,3.017544607,4.949865231,0.896051632,0.728043847,0.902927369,0.769307286,2.080772881,10.6,18.74124608,11.3,18.45501478,1.25E-06
3,3,2022,Ignas Brazdeikis,23,ORL,SF,9,0.3,1.4,0.5,1.3,0.3,0.4,0.4,0.9,1.3,0.5,0.3,0.1,0.3,1,2.1,135,7.739944462,1.110032737,1.482014824,2.011907279,4.41172486,0.831342238,2.531562494,19.48164071,0.711119671,2.559472374,3.270592045,1.476761436,0.368848442,0.214441711,0.901076218,1.473583206,4.5,13.69763939,5.31,14.72859131,2.68E-07
4,4,2022,Arnoldas Kulboka,24,CHO,SF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1.63E-06
5,5,2022,Rodney McGruder,30,DET,SG,9.5,0.3,1.2,0.7,1.4,0.2,0.2,0.5,1.1,1.6,0.6,0.2,0.1,0.5,0.7,2.5,403,4.793071607,0.258088238,0.369831542,1.264932778,2.347253042,0.743925206,1.773996748,12.99803465,0.485482685,1.146688819,1.632171504,1.16377746,0.448766741,0.101063313,0.458129341,1.055439487,5.2,10.56450765,5.72,9.688704423,6.29E-07
6,6,2022,Cam Thomas,20,BRK,SG,16.9,0.6,2.7,2.3,4.3,0.9,1.1,0.2,2.2,2.4,1.1,0.5,0.1,0.7,0.7,7.3,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,NA,12.93,NA,0.00035919
7,7,2022,Anfernee Simons,22,POR,SG,26,2.4,6.2,2.7,5.4,1.4,1.5,0.5,2.1,2.6,2.9,0.4,0.1,1.5,2,14.1,393,8.925896595,1.05301276,1.356606393,1.726751837,3.531830372,1.713941235,4.299781643,18.9638514,0.453538023,2.385565871,2.839103894,1.602004231,0.39457199,0.216695689,0.837727512,1.631281062,22.4,16.19874637,21.57,15.73190314,0.001310789
8,8,2022,Coby White,21,CHI,PG,25,1.9,5.1,2.5,4.4,1.4,1.7,0.1,2.3,2.4,2.2,0.5,0.2,1.2,2.2,12.1,101,15.01245041,1.957515495,2.278514646,3.163166841,6.50344573,2.362446703,6.576616834,29.18258255,0.539646309,3.545197019,4.084843328,4.245680685,0.712994254,0.248854538,2.042399969,2.205688662,20.2,27.36386241,19.18,27.12592984,0.00687043
9,9,2022,Kelly Olynyk,30,DET,C,23,1.4,4.1,3.1,5.7,2.1,3.5,1.3,4,5.3,2.3,1.4,0.7,1.5,2.7,12.5,231,11.53895291,1.656640228,1.961699628,2.403147041,3.936361293,1.709794817,4.930752587,24.68372115,0.968386583,4.700829783,5.669216366,2.69103535,0.856068634,0.436563426,1.589108157,2.54635435,27,25.34605716,27.11,24.6673536,0.000485498
10,10,2022,Caleb Martin,26,MIA,SF,22.9,1,2.8,2.5,4.3,0.9,1.4,1.2,2.6,3.8,0.9,0.9,0.6,0.8,1.7,8.9,521,5.734213841,0.844704356,1.240377368,1.391060344,2.907669356,0.844133421,2.60463014,16.6786456,0.573160788,2.007624754,2.580785542,1.347053647,0.68843288,0.283351434,0.601798815,1.409090132,19.3,13.09919475,18.51,13.16529109,0.001600098
11,11,2022,Jalen Johnson,20,ATL,PF,4.7,0.2,0.5,0.5,1,0.4,0.5,0,1.2,1.2,0.1,0,0,0.2,0.3,2,11,4.553596635,0.515150211,0.650762363,0.866411614,2.006236868,0.499149874,1.490016368,15.32160583,0.336908681,1.492692705,1.829601386,0.530260808,0.340786583,0.201172606,0.717456975,1.163622177,3,7.775049905,3.39,8.452930102,1.77E-06
12,12,2022,Jahmi'us Ramsey,20,SAC,SG,5.5,0.1,0.7,0.8,1.5,0.3,0.7,0.1,0.3,0.4,0.2,0.1,0.1,0.1,0.3,2.3,98,4.986473353,0.755674262,0.835291821,1.373852435,2.515397967,0.503104332,1.804346526,11.35627184,0.41518508,1.322241789,1.737426869,0.77213681,0.413200777,0.205418745,0.431810104,1.05129707,3,9.736687536,3.58,9.653639273,1.54E-06
13,13,2022,Chuma Okeke,23,ORL,PF,23.2,1,4.3,1.7,3.4,0.9,1,0.7,3.8,4.5,1.3,1.3,0.4,0.9,1.3,7.3,505,9.398648473,1.036499996,1.31307216,2.281546977,4.676223517,1.224132251,3.419520437,25.72408454,0.925067696,3.377132673,4.302200369,2.570330599,1.065384645,0.486997331,1.074990347,1.343645966,18,22.76423184,18.85,21.9989404,1.27E-05
14,14,2022,Paul Watson,27,OKC,SF,17.3,0.7,2.9,0.7,1,0.1,0.2,0.3,2.7,3,0.9,0.3,0.3,0.4,1.1,3.4,447,4.209865051,0.437275803,0.564963577,0.483058812,0.983413751,0.980162678,2.406100516,12.03320696,0.235410622,1.661997838,1.89740846,0.766116631,0.303134002,0.140715106,0.308252185,1.221434466,9.3,9.187802452,9.75,8.659225289,4.81E-06
15,15,2022,Aaron Wiggins,23,OKC,SG,21.1,0.8,2.4,1.9,3.1,1,1.4,0.8,2.5,3.3,1.2,0.7,0.2,0.8,2,7.2,47,4.258357471,0.448655963,0.666867161,1.06987728,2.12985664,0.713306829,2.26907344,11.58355661,0.45197855,1.274901993,1.726880543,1.077558057,0.410138806,0.106947934,0.514845747,0.891129137,15.2,8.841543363,14.86,8.983365681,2.98E-05
16,16,2022,Scottie Barnes,20,TOR,PF,35.5,0.7,2.4,5.1,9.8,2.1,3,2.9,5.1,8,3.5,1,0.9,1.9,2.8,14.5,7,9.052880775,1.210063714,1.698149132,2.703929543,5.400462677,0.667509949,2.191060707,23.07821912,0.800675889,2.771033929,3.571709818,3.027933936,0.873068076,0.329372149,1.732822518,1.90395285,32.5,19.35535446,33.15,19.75533162,0.059711562
17,17,2022,Kyle Lowry,35,MIA,PG,34.2,2.1,6.4,2.4,4.4,2.4,2.9,0.6,3.9,4.5,8.3,1,0.4,3.1,2.8,13.6,346,15.59714574,2.963606483,3.444589696,2.401404137,4.876644482,2.627555468,6.927728642,29.83684156,0.51802654,3.784512913,4.302539453,6.677944664,0.952266827,0.253998371,2.410104898,2.581196784,33.9,33.66054386,32.55,31.98580078,0.216672461
18,18,2022,Reggie Perry,21,POR,PF,20.5,0.5,1,1.5,3.5,1,1,1,2.5,3.5,1,0.5,0,0.5,3,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,12.2,NA,1.94E-05
19,19,2022,Malik Newman,24,CLE,PG,8,0,1,3,4,2,2,0,1,1,1,0,0,1,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,9.7,NA,0.000157291
20,20,2022,Clint Capela,27,ATL,C,29.7,0,0,5.3,9.3,1.3,2.7,4.2,8.9,13.1,1.4,0.8,1.5,0.6,2.5,11.8,266,14.76373232,1.81220814,3.150767952,6.20890007,10.25489515,0.117483853,0.32151148,29.34957299,4.060467467,8.881418466,12.94188593,1.114217349,0.704488261,1.666984361,1.191607918,2.283658188,35.6,37.89201286,35.92,37.88813141,0.021787163
21,21,2022,Paul George,31,LAC,SF,35.5,2.7,8.3,6.3,13,4,4.5,0.4,6.7,7.1,5.5,2,0.4,4.2,2.5,24.7,228,22.28460785,3.580862401,4.054519679,4.826562524,9.363865809,3.194178924,7.665996369,31.26846713,0.61127926,5.228278854,5.839558114,4.979468609,1.196326637,0.369202614,3.023717001,2.217503693,42.9,40.02992855,44.47,38.43415125,0.846263287
22,22,2022,Elijah Hughes,23,UTA,SF,6.2,0.7,1.4,0.3,0.5,0.3,0.3,0,0.9,0.9,0.4,0.2,0,0.4,0.4,3,53,3.584809322,0.589159312,0.706113121,0.81850924,1.70832413,0.546719717,1.646831911,9.291117114,0.272237711,0.909426632,1.181664343,0.834297444,0.292220324,0.17366677,0.597765614,0.721544127,5.5,6.908153482,4.88,7.054148368,3.37E-05
23,23,2022,Kenrich Williams,27,OKC,SF,20.6,0.8,2.1,2,3.9,0.6,1.1,1.4,2.6,4,1.9,1,0.1,0.8,1.7,7,293,7.137312771,0.537598538,0.985781151,2.04636633,3.698127616,0.890569705,2.310583251,20.88690678,1.247335304,3.004680033,4.252015337,2.236235725,0.779738456,0.361478098,0.985794518,2.090956542,17.5,18.76262503,17.15,18.03193991,4.42E-05
24,24,2022,Otto Porter Jr.,28,GSW,PF,21.2,1.5,3.8,1.5,2.8,0.5,0.7,1.1,4.1,5.2,1.6,1.1,0.4,0.6,1.3,8.1,327,9.887505151,1.327281632,1.574334542,2.242928449,4.486316023,1.531654616,3.947476815,21.27051334,0.892336824,3.725420517,4.617757341,1.844288433,0.742207367,0.225496964,0.738502664,1.652068029,22,20.98762635,20.64,20.35985694,0.00533211
25,25,2022,Taurean Prince,27,MIN,PF,14.7,0.8,2.7,0.8,1.5,0.5,0.7,0.4,1.6,2,0.9,0.4,0.2,0.6,1.5,4.6,247,9.786791137,1.448768147,1.740987807,1.648888352,3.973293336,1.741556861,4.424459244,22.14946501,0.55963426,3.359050555,3.918684815,2.064794854,0.72142867,0.437081807,1.337809154,1.912603042,9.2,19.62596431,9.55,19.72412747,2.09E-05
26,26,2022,Christian Wood,26,HOU,C,30.7,1.7,4.7,4.8,8.7,3,4.7,1.8,8.2,10,2,0.7,0.9,1.8,2.4,17.4,177,19.32049304,2.87176687,4.325181346,5.355239478,9.370043423,1.756919716,4.827203736,29.44352615,1.715339052,6.772111839,8.487450891,1.782101718,0.668889604,0.956958907,1.675143052,1.933956885,33.8,34.85583178,35.4,35.38098917,0.019445867
27,27,2022,Dylan Windler,25,CLE,SF,10.1,0.6,1.6,0.3,0.7,0.1,0.1,0.4,1.4,1.8,0.9,0.3,0.1,0.4,1,2.7,520,5.519635958,0.777214344,1.029314436,1.153086494,1.988830145,0.863412369,2.563950301,16.63550362,0.656712459,2.813110052,3.469822511,0.976454424,0.582985791,0.406558094,0.834263671,1.329910172,7.2,13.32354507,7.01,13.28247259,2.26E-05
